ID,USERID,NOME,EXPERIENCIA,ALG_01,BASE_ALG_01,DEC_01,BASE_DEC_01,REC_01,BASE_REC_01,ABS_01,BASE_ABS_01,TOTAL_ATIVIDADE_01,A atividade foi muito bem organizada.,O professor era muito bem informado sobre o assunto que ensinava.,O professor era muito bom na comunicação.,O professor foi motivador e entusiasta.,"Por favor, indique as três coisas que você mais gostou na aula e por quê?","Por favor, indique as três coisas que você não gostou na aula e por quê?",Qual foi a coisa mais importante que você aprendeu com essa aula?,Fale sobre as bases do pensamento computacional.,Você acha que as lições da aula serão úteis para o crescimento de sua carreira? Por quê?,Você tem algum comentário ou sugestão para ajudar a melhorar essa aula?
aluno 11,35,Aluno 11,2,S,"2,5",S,"2,5",S,"2,5",S,"2,5",10,,,,,,,,,,
aluno 12,36,Aluno 12,3,S,"2,5",S,"2,5",S,"2,5",S,"2,5",10,,,,,,,,,,
aluno 13,34,Aluno 13,1,N,0,P,"1,25",P,"1,25",N,0,"2,5",5,5,5,5,"Gostei de te aprendido sobre as bases do pensamento computacional, te aprendido como construir um algoritimo e a interpreta-lo para uma lingua mas facil de ser conprendida pelo computador.,",nada a declara,bases do pensamento computacional,"são elas decomposição: decompor o problema em partes para resolver com mais facilidade, abstração: eliminar tudo que ser desnecessário para a resolução do problema, reconhecer padrões: reconhecer que dentro do problema a padrões que se repetem, pensamento algoritimo: e um passo a passo que quer com o objetivo de encontra a solução para o problema.","sim. porque é uma coisa tão comum, pois é algum que esta no nosso dia a dia e nem percebemos",não
aluno 14,48,Aluno 14,1,S,"2,5",S,"2,5",S,"2,5",N,0,"7,5",,,,,,,,,,
aluno 15,53,Aluno 15,1,S,"2,5",P,"1,25",P,"1,25",N,0,5,,,,,,,,,,
aluno 16,45,Aluno 16,1,,0,,0,,0,,0,0,,,,,,,,,,
aluno 17,39,Aluno 17,3,S,"2,5",P,"1,25",P,"1,25",N,0,5,,,,,,,,,,
aluno 18,38,Aluno 18,4,S,"2,5",S,"2,5",S,"2,5",S,"2,5",10,5,5,5,5,"didática, entusiasmo e paciência do professor na explicação do conteúdo.",eu gostei de tudo,as bases do pensamento computacional,"exploração de forma criativa, crítica e estratégica","Sim, o entendimento dos conteúdos fundamentais permite o desenvolvimento da matéria de maneira fluida.",Não.
aluno 19,54,Aluno 19,2,S,"2,5",S,"2,5",P,"1,25",N,0,"6,25",,,,,,,,,,
aluno 20,30,Aluno 20,2,S,"2,5",P,"1,25",P,"1,25",N,0,5,5,5,5,5,Gostei de ter um contato com uma forma diferente de interpretar os problemas e procurar soluções,"Tive dificuldade em entender os conceitos, gostaria que tivesse feito mais alguns exemplos ajudaria no entendimento melhor do assunto",Separar o que é necessário e do que não é pra resolução de um problema,São conceitos que nos ajudam a a identificar o que é preciso ser feito para chegar a uma resolução adequada do que se é pedido,"Sim, devido esses temas servirem como base para todo o desenvolvimento do pensamento ao redor da programação",A utilização de mais slides com diferentes exemplos poderia ajudar
aluno 21,22,Aluno 21,2,S,"2,5",S,"2,5",S,"2,5",S,"2,5",10,5,5,5,5,"A clareza com que o professor ministra as aula, tornando o aprendizado mais eficiente, a boa comunicação com a turma, permitindo que o aluno tire dúvidas e contribua com a aula, e situação de aprendizagem, que implica uma assimilação do conteúdo melhor.",Nenhuma crítica.,"A ter um pensamento computacional, e uma lógica para iniciar na programação.",Organizar as instruções de maneira detalhada e estruturada.,"Sim, para se adaptar a forma como os computadores executam as instruções, solidificando as bases para desenvolver programas avançados.",Demonstrar o funcionamento do Robô em uma linguagem de programação real.
aluno 22,49,Aluno 22,3,S,"2,5",S,"2,5",S,"2,5",N,0,"7,5",5,5,5,5,"O tema, proposta e a dinâmica apresentada.","Só a duração, poderia ser maior.",A Decomposição de problemas,"São etapas que nos ajudam a desenvolver uma clareza nos pensamentos, que nos ajudam a se aproximar da lógica do computador.","Sim, me ajudaram a compreender o assunto.",Não
aluno 24,44,Aluno 24,2,,0,,0,,0,,0,0,,,,,,,,,,
aluno 25,46,Aluno 25,2,S,"2,5",S,"2,5",S,"2,5",S,"2,5",10,,,,,,,,,,
aluno 26,51,Aluno 26,1,S,"2,5",P,"1,25",P,"1,25",N,0,5,,,,,,,,,,
aluno 27,57,Aluno 27,4,S,"2,5",P,"1,25",P,"1,25",N,0,5,,,,,,,,,,
aluno 28,27,Aluno 28,1,S,"2,5",P,"1,25",P,"1,25",N,0,5,,,,,,,,,,
aluno 29,60,Aluno 29,1,,0,,0,,0,,0,0,,,,,,,,,,
aluno 30,21,Aluno 30,3,S,"2,5",S,"2,5",P,"1,25",N,0,"6,25",5,5,5,4,"O robô aspirador, porque eu nunca vi um desses antes.","Esse questionário ser obrigatório, porque não sei o que dizeeeeeer",Não complicar na hora de responder a atividade,"São quatro bases: decomposição do problema, abstração, reconhecimento de padrões e algoritmo.","Sim, porque com prática vem aprendizado.",Não.
aluno 31,18,Aluno 31,2,S,"2,5",S,"2,5",S,"2,5",S,"2,5",10,,,,,,,,,,
aluno 32,23,Aluno 32,2,S,"2,5",S,"2,5",S,"2,5",N,0,"7,5",,,,,,,,,,
aluno 33,29,Aluno 33,2,S,"2,5",P,"1,25",P,"1,25",N,0,5,,,,,,,,,,
aluno 34,31,Aluno 34,2,S,"2,5",S,"2,5",S,"2,5",P,"1,25","8,75",,,,,,,,,,
aluno 35,37,Aluno 35,1,S,"2,5",P,"1,25",P,"1,25",N,0,5,5,5,5,5,"Ela fez a ""ponte"" entre as ""receitas de comida"" e o pensamento computacioonal propriamente dito. Gostei tanto disso quando de fazer o algoritmo do robô",Não tem,Aumentei minha noção de criar um algoritmo,"Decomposição para dividir o problema em pribla se menores, abstração para escolher o que eu usaria e o que eu não usaria, reconhecimento dos padrões e por fim o algoritmo","Sim! Pois serviu como uma base, é quanto mais forte a base, mais forte vai ser o topo",Ir mais no laboratório porque lá é bom demais🤝😎
aluno 36,47,Aluno 36,1,,0,,0,,0,,0,0,4,5,4,5,"Didática, instrumental, e dinâmica. Nada a declarar.",Compreensibilidade.,Organização operacional.,Dividir o problema em problemas menores.,"Sim, pois me dão a base de como funciona a computação.",Não
aluno 37,42,Aluno 37,1,S,"2,5",S,"2,5",S,"2,5",N,0,"7,5",,,,,,,,,,
aluno 38,52,Aluno 38,1,S,"2,5",S,"2,5",S,"2,5",S,"2,5",10,,,,,,,,,,
aluno 39,28,Aluno 39,3,S,"2,5",S,"2,5",S,"2,5",S,"2,5",10,,,,,,,,,,
